analyze-counts --verbose=1 --binary=false --counts-dim=1280 'ark:ali-to-pdf exp_FG/tri_8_2000_ali/final.mdl "ark:gunzip -c exp_FG/tri_8_2000_ali/ali.*.gz |" ark:- |' exp_FG/blstm4i/ali_train_pdf.counts 
ali-to-pdf exp_FG/tri_8_2000_ali/final.mdl 'ark:gunzip -c exp_FG/tri_8_2000_ali/ali.*.gz |' ark:- 
LOG (ali-to-pdf[5.5.1074~1-71f3]:main():ali-to-pdf.cc:68) Converted 2919 alignments to pdf sequences.
LOG (analyze-counts[5.5.1074~1-71f3]:main():analyze-counts.cc:191) Printing...
### The sorted count table,
count	(norm),	id	(symbol):
287	(0.000343951),	793	
287	(0.000343951),	1086	
289	(0.000346348),	30	
289	(0.000346348),	889	
289	(0.000346348),	1158	
290	(0.000347546),	600	
290	(0.000347546),	1202	
291	(0.000348744),	144	
291	(0.000348744),	1197	
292	(0.000349943),	903	
293	(0.000351141),	249	
293	(0.000351141),	1083	
293	(0.000351141),	1234	
294	(0.00035234),	108	
294	(0.00035234),	399	
294	(0.00035234),	411	
294	(0.00035234),	744	
294	(0.00035234),	1000	
295	(0.000353538),	164	
295	(0.000353538),	634	
295	(0.000353538),	1203	
296	(0.000354737),	172	
296	(0.000354737),	374	
296	(0.000354737),	394	
296	(0.000354737),	810	
297	(0.000355935),	239	
297	(0.000355935),	448	
297	(0.000355935),	474	
298	(0.000357133),	434	
299	(0.000358332),	540	
299	(0.000358332),	1273	
300	(0.00035953),	882	
300	(0.00035953),	1016	
301	(0.000360729),	373	
301	(0.000360729),	995	
302	(0.000361927),	101	
302	(0.000361927),	244	
302	(0.000361927),	422	
302	(0.000361927),	560	
302	(0.000361927),	1130	
304	(0.000364324),	393	
304	(0.000364324),	970	
305	(0.000365522),	60	
305	(0.000365522),	154	
305	(0.000365522),	912	
306	(0.000366721),	1037	
306	(0.000366721),	1071	
307	(0.000367919),	1198	
308	(0.000369118),	44	
308	(0.000369118),	326	
308	(0.000369118),	919	
309	(0.000370316),	305	
309	(0.000370316),	571	
309	(0.000370316),	706	
310	(0.000371515),	221	
310	(0.000371515),	443	
312	(0.000373912),	256	
312	(0.000373912),	559	
312	(0.000373912),	1230	
313	(0.00037511),	509	
313	(0.00037511),	1135	
314	(0.000376308),	16	
314	(0.000376308),	513	
315	(0.000377507),	561	
315	(0.000377507),	862	
316	(0.000378705),	166	
316	(0.000378705),	431	
316	(0.000378705),	708	
317	(0.000379904),	383	
317	(0.000379904),	1258	
318	(0.000381102),	1236	
320	(0.000383499),	633	
320	(0.000383499),	852	
320	(0.000383499),	1077	
320	(0.000383499),	1133	
322	(0.000385896),	724	
322	(0.000385896),	1269	
324	(0.000388293),	855	
324	(0.000388293),	1175	
